,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
358,Census Tract 8398,0.4004,64348.0,355100.0,17,031,839800,Census Tract 8398,0.0,18.0,31.0,7.0,4032.364258114248,0.41026718985993993,5.649837108511694,0.34533183352080987,0.344206974128234,0.03449568803899512,0.16811813706929193,0.8811795316565482
359,Census Tract 8399,0.4097,76313.0,339800.0,17,031,839900,Census Tract 8399,0.0,52.0,22.0,23.0,27979.188391073978,0.4327060282000072,3.6979942705324933,0.3569671214493402,0.27890852158353835,0.03243122343994632,0.08767613509282039,0.9566650965614696
360,Census Tract 8400,0.4734,86176.0,406700.0,17,031,840000,Census Tract 8400,0.0,16.0,7.0,3.0,8470.892463869875,0.39688688936521715,10.5161609895021,0.302158273381295,0.17905675459632295,0.017985611510791366,0.15987210231814547,0.9757085020242915
362,Census Tract 8401,0.3593,56768.0,374800.0,17,031,840100,Census Tract 8401,0.0,18.0,1.0,27.0,6518.882094739319,0.3975418701428788,0.7140766345480057,0.22555252800484407,0.2358462004238571,0.044807750529821375,0.11625794732061762,0.977291841883936
363,Census Tract 8402,0.4473,52625.0,290700.0,17,031,840200,Census Tract 8402,0.0,30.0,28.0,24.0,2198.25213853223,0.42030605725158554,3.198331351256712,0.19771689497716896,0.20273972602739726,0.014611872146118721,0.19726027397260273,0.9746514575411914
364,Census Tract 8403,0.398,70185.0,234600.0,17,031,840300,Census Tract 8403,0.0,42.0,15.0,8.0,14781.516234138218,0.5314060088327847,1.231470699927622,0.14123825317855168,0.25096738529574353,0.046158098396904365,0.10868347338935574,0.8843537414965986
365,Census Tract 8404,0.4416,46813.0,238500.0,17,031,840400,Census Tract 8404,0.0,50.0,48.0,13.0,4816.725244497028,0.4758069299657161,0.0,0.20900729464002538,0.18966064065968918,0.03330161750713606,0.14113542657786235,0.9964507542147294
366,Census Tract 8407,0.366,70163.0,201300.0,17,031,840700,Census Tract 8407,0.0,22.0,13.0,11.0,11564.454400053257,0.6967756077514738,3.926045998422992,0.20781071835803877,0.281927023945268,0.021664766248574687,0.19783352337514254,0.868020304568528
367,Census Tract 8408,0.3615,42902.0,178500.0,17,031,840800,Census Tract 8408,0.0,14.0,10.0,2.0,4875.663575570097,0.9493405128590244,3.08084325371968,0.05673758865248227,0.21862473018809744,0.041628122109158186,0.3724946037619488,0.9102272727272728
368,Census Tract 8410,0.4938,82159.0,345100.0,17,031,841000,Census Tract 8410,2.0,50.0,34.0,14.0,6171.346383619413,0.33844899217559293,12.07576273791825,0.5414634146341464,0.29073170731707315,0.002926829268292683,0.22146341463414634,0.9405487804878049
