,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
71,Census Tract 328.01,0.4587,104634.0,1082300.0,06,075,032801,Census Tract 328.01,0.0,24.0,61.0,8.632106184063703,20.0,6931.0920511083405,0.38838258190376546,3.8305502492839447,0.406905055487053,0.25548705302096175,0.040443896424167694,0.02754399387911247,0.9548213081591369
72,Census Tract 328.02,0.4216,113000.0,1140500.0,06,075,032802,Census Tract 328.02,0.0,26.0,85.0,8.282742150567877,18.0,7080.148057683557,0.38471742443725165,12.201928025338583,0.42541557305336836,0.30861767279090113,0.01727909011373578,0.09627671293236395,0.9686274509803922
73,Census Tract 329.01,0.4044,131219.0,1093200.0,06,075,032901,Census Tract 329.01,0.0,46.0,32.0,9.29574040325524,34.0,7944.5035543644535,0.3884354219243703,10.206784486672786,0.3928772258669166,0.18219306466729146,0.021743205248359886,0.04216073781291173,0.9415546464056107
74,Census Tract 329.02,0.4687,111829.0,1188200.0,06,075,032902,Census Tract 329.02,0.0,18.0,7.0,8.931733080620289,8.0,8823.708989853776,0.4074494969461524,13.844771532133933,0.39056179775280897,0.20404494382022473,0.05752808988764045,0.08044414230682076,0.9817936614969656
75,Census Tract 330.01,0.4352,87863.0,1540800.0,06,075,033001,Census Tract 330.01,0.0,36.0,8.0,9.786873562885722,11.0,7313.733648831217,0.3867361621633888,3.502733373152556,0.5057007125890737,0.18907363420427553,0.02517814726840855,0.05489260143198091,0.9673076923076923
76,Census Tract 330.02,0.431,152723.0,1234500.0,06,075,033002,Census Tract 330.02,0.0,12.0,99.0,9.262570526302683,30.0,4241.175710045332,0.37190248003625404,5.454537208462783,0.4106874059207225,0.2187656798795785,0.040642247867536375,0.044012282497441144,0.9741207697412076
77,Census Tract 331,0.4459,115000.0,1511900.0,06,075,033100,Census Tract 331,0.0,40.0,26.0,10.080429985629467,26.0,4338.305961816498,0.3655854902986532,11.538839992718232,0.4250258531540848,0.1499482936918304,0.01421923474663909,0.0468051538259269,0.9180771834800271
79,Census Tract 332.03,0.5637,53088.0,1512900.0,06,075,033203,Census Tract 332.03,0.0,26.0,15.0,10.929941769135608,2.0,8019.733484685602,0.38017232833737946,8.431606548812319,0.3702115494568325,0.38907947398513437,0.06660949113779302,0.2032590051457976,0.9125073399882561
81,Census Tract 351.01,0.4288,138098.0,1111600.0,06,075,035101,Census Tract 351.01,0.0,10.0,22.0,9.144682782268696,17.0,10884.714956643471,0.3769942897090626,2.900909104605171,0.4375,0.25625,0.084375,0.12716346153846153,0.9296482412060302
82,Census Tract 351.02,0.4747,146699.0,1153200.0,06,075,035102,Census Tract 351.02,0.0,18.0,27.0,9.449008825189235,22.0,8425.45356871212,0.3539499392650813,10.932260204292222,0.3991256830601093,0.15978142076502733,0.007213114754098361,0.028633879781420766,0.9874446085672083
83,Census Tract 352.01,0.427,110000.0,1005500.0,06,075,035201,Census Tract 352.01,0.0,32.0,37.0,10.249934451399,35.0,3484.514947453317,0.37976345272782247,5.889328296623883,0.3389427473934516,0.20102432778489115,0.0515822205963051,0.10466605672461116,0.9505154639175257
84,Census Tract 352.02,0.4364,99408.0,1025600.0,06,075,035202,Census Tract 352.02,1.0,22.0,67.0,9.702128984372273,23.0,13461.170627626476,0.3626408835732921,5.739213317153674,0.3772681954137587,0.2596211365902293,0.017547357926221335,0.07517447657028914,0.9617662897145934
85,Census Tract 353,0.4303,120109.0,1042700.0,06,075,035300,Census Tract 353,0.0,48.0,93.0,10.069190783733555,18.0,6721.17068282031,0.3886200514624756,8.943738972238098,0.38784984745987533,0.1795994163682186,0.00782597161427245,0.030508024936994296,0.930281690140845
86,Census Tract 354,0.4963,115160.0,1029700.0,06,075,035400,Census Tract 354,1.0,58.0,31.0,10.771639750439874,33.0,4618.376405996291,0.34987330113375875,5.750766777330086,0.38475177304964536,0.19435351882160393,0.058919803600654665,0.09247135842880523,0.9795918367346939
87,Census Tract 426.01,0.4863,90391.0,1585700.0,06,075,042601,Census Tract 426.01,0.0,10.0,100.0,6.940818568225113,19.0,14196.059200338359,0.35352291765619476,4.6358575192135065,0.47222890117816785,0.2587160375090166,0.035345034864150034,0.18225534984371244,0.8759532282663955
88,Census Tract 426.02,0.4343,148816.0,1236400.0,06,075,042602,Census Tract 426.02,0.0,18.0,61.0,6.446747169626384,23.0,8599.692557542665,0.3709139399837971,8.833713989697213,0.6100210231254379,0.20777855641205326,0.020672740014015416,0.03188507358093903,0.8401826484018264
89,Census Tract 427,0.4937,101375.0,1236300.0,06,075,042700,Census Tract 427,0.0,42.0,99.0,7.5557587191813145,14.0,12894.433573919578,0.3639808540080996,6.851392414201192,0.4603866565579985,0.22100075815011372,0.029378316906747536,0.1087945413191812,0.9031180400890868
90,Census Tract 428,0.494,198000.0,2000001.0,06,075,042800,Census Tract 428,0.0,10.0,0.0,7.534394444464001,7.0,2732.4532337851947,0.3839960622748581,13.72805970680609,0.5910596026490066,0.10513245033112582,0.009519867549668874,0.03352649006622516,0.8468292682926829
91,Census Tract 451,0.4279,182829.0,1230300.0,06,075,045100,Census Tract 451,0.0,22.0,55.0,5.43147450257076,22.0,13764.550629972817,0.38006872928488233,13.275493688591986,0.5950085082246171,0.36169408205709963,0.016071090943467575,0.051621569756284784,0.9504997620180866
92,Census Tract 452.01,0.4945,155586.0,1661900.0,06,075,045201,Census Tract 452.01,0.0,18.0,37.0,6.127472610805738,25.0,9490.2212143174,0.35249531168408793,7.11228871299559,0.5153410783437593,0.27882037533512066,0.0074471254095918975,0.03409090909090909,0.9865370231862378
93,Census Tract 452.02,0.4382,118538.0,1743400.0,06,075,045202,Census Tract 452.02,0.0,28.0,49.0,5.793704318959085,12.0,14632.752749505249,0.36879895742439267,8.652786322642688,0.5868005738880918,0.37474892395982784,0.05365853658536585,0.10186513629842181,0.9642625081221572
94,Census Tract 476,0.4735,128992.0,1257600.0,06,075,047600,Census Tract 476,0.0,28.0,84.0,6.628055058479323,20.0,10205.687511983662,0.360245381651817,9.0392289579798,0.4660391288298265,0.2207456626061277,0.023624953857511996,0.03765227021040975,0.9159922928709056
95,Census Tract 477.01,0.4356,89922.0,1070900.0,06,075,047701,Census Tract 477.01,0.0,20.0,64.0,7.297477746138543,22.0,13570.99898627152,0.3640292941862006,17.450160418626655,0.4966646452395391,0.2698605215281989,0.05376996159288458,0.11662279813727475,0.9513336452971455
96,Census Tract 477.02,0.4607,125156.0,1514300.0,06,075,047702,Census Tract 477.02,0.0,18.0,19.0,7.38762549390673,12.0,10785.837839788717,0.37244977428943893,14.905345357576936,0.46831448856166186,0.19905337891138575,0.011306863002892454,0.10630440517013981,0.906377998829725
97,Census Tract 478.01,0.4828,113333.0,1535700.0,06,075,047801,Census Tract 478.01,0.0,32.0,72.0,8.041253401712034,18.0,8991.418304780309,0.36036166695538785,10.014794611444513,0.4720989960308195,0.2339481671725426,0.007471398552416531,0.07070469007777516,0.9627473806752037
98,Census Tract 478.02,0.5385,104318.0,1539200.0,06,075,047802,Census Tract 478.02,0.0,20.0,64.0,8.355716492503829,7.0,11507.432532220806,0.37884516583496586,3.8601870016961994,0.4016393442622951,0.22336065573770492,0.024846311475409836,0.09195696721311475,0.920410783055199
99,Census Tract 479.03,0.4121,114634.0,1245500.0,06,075,047903,Census Tract 479.03,0.0,18.0,42.0,9.033901863196082,28.0,11009.991170559579,0.37521328814883104,4.05294048432619,0.3589803012746234,0.294090382387022,0.02549246813441483,0.1469359331476323,0.9546044098573282
100,Census Tract 479.04,0.5124,73775.0,1182200.0,06,075,047904,Census Tract 479.04,0.0,28.0,61.0,9.827913186073305,18.0,644.2296425836789,0.36568757407133723,9.305138708665735,0.36607142857142855,0.1524234693877551,0.022321428571428572,0.15979546180888463,0.9469847581179589
102,Census Tract 604,0.5581,68728.0,917900.0,06,075,060400,Census Tract 604,0.0,66.0,112.0,11.594664851354676,9.0,234.60193671978647,0.3556645191458409,0.0,0.4965732087227414,0.24049844236760123,0.03551401869158879,0.06105919003115265,0.9400196656833825
103,Census Tract 605.02,0.6303,31359.0,785500.0,06,075,060502,Census Tract 605.02,0.0,30.0,2.0,9.481267589193411,0.0,10357.269425258339,0.391524479657026,1.498999976218755,0.09138742730545556,0.22929936305732485,0.05787870396012185,0.3074784542674451,0.9518963922294172
104,Census Tract 607.01,0.5181,162453.0,1599300.0,06,075,060701,Census Tract 607.01,2.0,36.0,118.0,2.7936113241848437,18.0,3387.3969814339853,0.3633918453876066,3.405288600293373,0.5561039338075192,0.3842357381332559,0.012483669618231963,0.08959835221421215,0.906954588758336
106,Census Tract 607.03,0.4028,171797.0,1011800.0,06,075,060703,Census Tract 607.03,0.0,26.0,38.0,2.3671441834392857,13.0,15116.80344288428,0.3786833001818101,15.944156317292679,0.576365024818633,0.32092401680030547,0.011072928598701794,0.046316630065881416,0.9102892713291835
107,Census Tract 610,0.4688,80093.0,861000.0,06,075,061000,Census Tract 610,0.0,36.0,15.0,9.39529561096265,25.0,1647.5773682755823,0.38424434820730646,3.2504010243927635,0.31070287539936103,0.25139776357827476,0.03973642172523962,0.07887380191693291,0.984958217270195
108,Census Tract 611.01,0.7517,20159.0,2000001.0,06,075,061101,Census Tract 611.01,8.0,42.0,301.0,0.06270281672835908,13.0,9692.412202845962,0.4765159788546648,13.032908589885189,0.11500261369576581,0.15316257187663357,0.0036591740721380033,0.3758494511238892,0.8732907930720146
109,Census Tract 611.02,0.513,22705.0,879300.0,06,075,061102,Census Tract 611.02,0.0,2.0,137.0,0.3919990477107411,0.0,56775.67138914532,0.46518503505694814,5.361807607244009,0.07983367983367984,0.1525987525987526,0.01496881496881497,0.36881496881496884,0.9393382352941176
110,Census Tract 612,0.5119,90099.0,823000.0,06,075,061200,Census Tract 612,0.0,42.0,48.0,6.6256136698000825,26.0,8669.911363298172,0.408322478614473,9.91227829457636,0.1955425842398514,0.2393207747413107,0.04828867073494295,0.12835503587563116,0.8910060975609756
111,Census Tract 614.01,0.5183,119896.0,968500.0,06,075,061401,Census Tract 614.01,0.0,64.0,9.0,4.649722216698489,29.0,8452.958835898251,0.36440039691321713,14.578389946441144,0.4862700228832952,0.2397025171624714,0.03775743707093822,0.17705949656750572,0.9471064094586186
112,Census Tract 614.02,0.4466,139750.0,1384400.0,06,075,061402,Census Tract 614.02,0.0,22.0,19.0,4.395682735064504,23.0,6098.560976157697,0.40744093595237035,29.38105116935412,0.55125,0.3541666666666667,0.0,0.14625,0.9631799163179916
113,Census Tract 615.01,0.4638,250001.0,1267200.0,06,075,061501,Census Tract 615.01,7.0,128.0,430.0,0.8642417385368762,17.0,4926.443551754551,0.349626976240487,2.752642351749751,0.76,0.3,0.0,0.10341463414634146,0.657010428736964
114,Census Tract 615.02,0.4985,102362.0,1090800.0,06,075,061502,Census Tract 615.02,0.0,10.0,47.0,1.7566106622378126,32.0,7913.79390878843,0.41171572895215636,4.5238026847965145,0.6517909571344686,0.42630651790957136,0.0011743981209630064,0.022900763358778626,0.7376668601276842
115,Census Tract 615.03,0.3907,250001.0,1377900.0,06,075,061503,Census Tract 615.03,1.0,8.0,68.0,1.2013040883485133,49.0,13214.947715671826,0.360122940715809,9.048122888204011,0.6956802063185042,0.6176660219213411,0.08027079303675048,0.1582849774339136,0.8294985250737463
